station_name;average_pm10
ATH-ENVICARE-3;32,87
ARISTOTELOUS;32,34
PERISTERI;30,25
PANACEA_049;28,99
PANACEA_019;28,97
ATHINAS;28,29
ATH-ENVICARE-0;28,29
PANACEA_048;28,09
SMYRNI;27,8
PPCITY21;27,45
CleanAir in Greece - Thiseio II;27,29
CleanAir in Greece - Thiseio;27,24
KOROPI;26,82
ATH-ENVICARE-2;26,74
PANACEA_029;26,52
MAROUSI;25,99
PANACEA_000;25,96
PPCITY12;25,47
ELEFSINA;25,38
PANACEA_AirPaP_008;25,21
PANACEA_001;24,49
PANACEA_AirPaP_002;24,45
Athens CAMS station 3;23,73
PANACEA_021;23,65
PANACEA_005;23,53
PANACEA_020;23,52
PANACEA_AirPaP_006;23,08
Athens CAMS station 16;22,93
PANACEA_038;22,77
PANACEA_014;22,69
Athens CAMS station 17;22,66
Athens CAMS station 4;22,32
PANACEA_037;22,18
PANACEA_045;22,05
PANACEA_039;22,03
PANACEA_047;21,85
PANACEA_046;21,64
Ano Liosia (Perneri);21,41
Athens CAMS station 15;20,91
Athens CAMS station 2;20,49
Athens CAMS station 8;19,75
PANACEA_AirPaP_001;19,66
ATHENS_01;19,65
Athens CAMS station 9;19,45
Athens CAMS station 5;19,28
Athens CAMS station 18;19,26
PARASKEVI;19,22
THRAKOMAKEDONES;19,06
PANACEA_004;18,39
Athens CAMS station 7;18,32
PANACEA_022;18,21
Athens CAMS station 10;18,12
Athens CAMS station 12;17,82
Athens CAMS station 13;17,42
Athens CAMS station 1;17,3
Athens CAMS station 6;17,17
Athens CAMS station 19;17,02
ATHENS_02;17,01
PANACEA_032;16,79
Athens CAMS station 11;16,74
Athens CAMS station 0;16,66
PANACEA_006;16,32
Athens CAMS station 14;16,27
National Technical University of Athens;16,26
